,38.29,38.29.1,38.29.2,38.29.3,38.29.4,38.29.5,38.66,38.66.1,38.66.2,38.66.3,1
98,2.97,3.35,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,-1
101,2.97,2.97,2.97,2.97,2.97,2.6,2.97,2.97,2.97,2.97,-1
102,2.97,2.6,2.97,2.97,2.6,2.97,2.97,2.6,2.97,2.97,-1
103,2.6,2.6,2.6,2.6,2.6,2.6,2.97,2.6,2.6,2.6,-1
104,2.6,2.6,2.6,2.6,2.97,2.6,2.6,2.6,2.6,2.6,-1
113,2.6,2.23,2.23,2.6,2.6,2.6,2.6,2.6,2.6,2.6,-1
114,2.6,2.23,2.6,2.23,2.23,2.23,2.23,2.23,2.6,2.23,-1
115,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.6,2.23,2.23,-1
118,2.23,2.23,2.23,2.23,2.23,2.6,2.23,2.23,2.23,2.23,-1
137,2.97,2.97,2.97,2.97,3.35,3.35,3.35,3.35,3.72,3.72,1
138,4.46,4.83,4.83,4.83,5.2,5.2,5.2,5.2,5.58,5.58,1
139,6.32,6.69,6.69,6.69,7.06,7.06,7.06,7.06,7.43,7.43,1
140,8.18,8.18,8.18,8.18,8.18,8.55,8.55,8.55,8.55,8.92,1
141,9.67,9.67,9.67,9.67,9.67,10.04,10.04,10.04,10.04,10.41,1
142,10.78,10.78,10.78,11.15,11.15,11.15,11.15,11.15,11.52,11.52,1
143,12.27,12.27,12.27,12.27,12.64,12.64,12.64,12.64,12.64,13.01,1
144,13.38,13.38,13.38,13.75,13.75,14.13,14.13,14.13,14.13,14.13,1
145,14.5,14.87,14.87,14.87,15.24,15.24,15.24,15.24,15.61,15.24,1
146,15.99,15.99,15.99,15.99,16.36,16.36,16.36,16.36,16.36,16.73,1
147,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.1,17.47,1
148,18.59,18.59,18.59,18.59,18.59,18.59,18.96,18.96,18.96,18.96,1
149,19.33,19.33,19.33,19.33,19.7,19.7,19.33,19.7,19.7,19.7,1
150,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.07,20.45,1
151,20.82,20.82,20.82,20.82,21.19,21.19,20.82,21.19,21.19,21.19,1
152,21.56,21.56,21.56,21.56,21.56,21.56,21.56,21.56,21.93,21.93,1
154,23.05,23.05,23.05,23.05,23.05,23.05,23.05,23.42,23.42,23.42,1
155,24.16,24.54,24.16,24.54,24.54,24.54,24.54,24.54,24.91,24.91,1
